kd_kepsek_an;kd_sekolah;pendidikan_sederajat;jenis_sek;sts_sek;kurikulum;daerah_khusus;kd_kokab;wilayah_bagian;jenis_wilayah;status_wilayah;proporsi_pendidik_min_s1;proporsi_pendidik_sertifikasi;jumlah_peserta_didik;jumlah_pendidik;rasio_pendidik_peserta_didik;jumlah_r_kelas;ketersediaan_internet;ketersediaan_listrik;jumlah_komp_milik;jumlah_perpus;jumlah_rombel;jumlah_siswa_rombel;jumlah_siswa_penerima_PIP;rasio_siswa_penerima_PIP;SES_sekolah;APC;APK;BBS;BCP;COP;CSV;ENP;EQC;EQR;HWS;KKG;KPC;KPK;KSA;KSV;LCS;LFO;MIP;NAT;OPC;PBU;PCP;PGP;PIP;PKG;PMU;POT;PPK;PSA;PSV;PPC;RC;RKG;RPI;RSD;SBU;SCO;SKG;SMK_GRMAG;SMK_GTIN;SMK_INDS;SMK_KLAB;SMK_KOMITE;SMK_KPL;SMK_PBEL;SMK_PIM;SMK_PKL;SMK_PKUR;SMK-SARPRAS;SMK_TEFA;SSV;TOC;TOR
K8500033;8500033;SMA/SMK/MA;Paket C;N;Kurikulum Merdeka;Tidak;190;Indonesia Barat;KOTA;URBAN;100,00;0,00;182;11;16,55;4;Ada;Ada;0;0;10;27;38;20,88;77,91;40,45;57,64;65,56;52,57;57,19;58,56;59,68;41,25;32,93;54,03;55,08;49,36;64,83;83,16;59,94;58,13;51,31;74,68;90,22;50,97;36,61;42,89;54,69;41,66;32,64;52,25;37,30;51,70;34,39;40,99;51,70;50,04;55,94;57,05;55,57;41,94;71,77;43,83;;;;;;;;;;;;;57,97;36,05;53,50
K8500006;8500006;SMA/SMK/MA;Paket C;S;Kurikulum 2013;Tidak;272;Indonesia Barat;KOTA;URBAN;0,00;0,00;71;0;0,00;2;Ada;Ada;4;0;8;11;13;18,31;78,49;43,84;51,67;47,96;48,26;60,53;54,61;63,87;53,94;55,03;49,38;61,76;51,81;56,71;56,61;52,19;54,53;65,70;66,98;72,17;61,57;75,69;47,86;75,96;43,42;47,21;57,41;69,80;57,66;68,85;53,88;57,66;57,17;45,44;60,58;58,17;49,51;43,63;57,28;;;;;;;;;;;;;52,20;35,16;62,48
K8500007;8500007;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;062;Indonesia Barat;KOTA;URBAN;100,00;0,00;559;13;43,00;7;Ada;Ada;4;1;28;132;90;16,10;78,98;51,89;58,83;58,37;61,46;58,82;40,56;61,82;54,90;47,31;42,81;50,69;55,99;52,49;67,27;53,52;62,81;49,72;64,95;90,11;58,00;50,05;58,12;63,00;97,99;53,41;85,43;52,52;45,15;66,96;42,37;45,15;61,09;47,23;62,85;47,24;55,03;52,87;88,68;;;;;;;;;;;;;61,35;36,05;60,14
K8500008;8500008;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;104;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;580;2;290,00;2;Ada;Ada;0;0;26;245;215;37,07;75,21;43,94;47,73;45,06;38,29;62,41;24,41;50,76;57,79;64,30;66,25;21,13;31,76;52,49;46,06;40,67;67,11;69,53;72,14;69,02;61,37;63,68;67,75;68,62;63,79;46,80;69,73;72,63;65,78;87,82;72,90;65,78;54,94;43,57;68,81;51,96;42,39;48,05;42,98;;;;;;;;;;;;;75,98;33,18;37,70
K8500005;8500005;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;059;Indonesia Barat;KABUPATEN;RURAL;80,00;0,00;166;5;33,20;6;Ada;Ada;0;0;11;30;41;24,70;69,86;47,72;58,83;58,37;52,57;48,46;49,17;50,76;53,37;48,35;42,81;63,49;49,09;46,97;46,06;40,67;54,06;43,83;58,17;90,11;55,05;53,38;58,12;53,06;56,16;46,80;54,59;59,37;49,71;66,96;52,13;49,71;54,94;55,94;41,14;47,24;45,86;58,01;59,57;;;;;;;;;;;;;47,90;30,85;43,90
K8500089;8500089;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;228;Indonesia Barat;KABUPATEN;RURAL;75,00;0,00;506;8;63,25;18;Ada;Ada;3;1;17;95;214;42,29;71,96;52,28;51,67;82,94;64,37;97,77;54,61;69,85;96,06;86,31;99,17;71,73;59,62;51,52;70,04;99,90;84,14;65,70;100,00;72,17;76,04;69,30;65,19;95,19;91,03;71,38;100,00;79,98;52,69;93,27;76,78;52,69;67,23;93,97;97,96;86,16;68,03;64,07;85,70;;;;;;;;;;;;;82,83;100,00;59,61
K8500087;8500087;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;502;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;213;5;42,60;11;Ada;Ada;0;0;9;55;62;29,11;74,10;43,84;51,91;51,61;38,29;66,78;44,69;77,52;68,65;48,35;46,63;51,05;49,64;47,19;56,93;75,13;58,13;51,31;70,79;100,00;59,43;67,97;66,98;66,99;69,57;62,09;92,75;59,28;55,68;65,22;52,38;55,68;61,80;55,94;81,27;61,28;51,91;64,07;59,91;;;;;;;;;;;;;49,76;40,18;76,48
K8500090;8500090;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;218;Indonesia Barat;KABUPATEN;RURAL;92,31;0,00;297;13;22,85;23;Ada;Ada;3;0;22;71;82;27,61;63,44;40,45;52,86;58,37;52,57;51,80;49,17;48,26;49,23;48,35;30,01;63,49;43,38;52,49;46,06;64,42;41,02;43,83;55,04;78,37;55,05;53,38;58,12;48,82;42,50;41,43;45,01;11,63;49,71;43,00;26,35;49,71;49,51;51,30;44,75;42,83;55,03;38,50;48,94;;;;;;;;;;;;;30,87;28,79;59,07
K8600005;8600005;SMA/SMK/MA;PPS Ulya;S;;Tidak;328;Indonesia Barat;KABUPATEN;URBAN;;;;;;;;;;;;;;;68,15;51,89;58,83;50,64;41,94;70,03;49,17;73,24;56,63;42,98;42,81;50,69;49,09;52,49;46,06;46,28;50,00;52,80;58,17;59,35;57,29;63,68;58,12;57,78;42,50;46,80;59,50;49,44;61,14;53,06;52,13;61,14;54,94;52,12;50,71;57,57;55,03;52,87;59,57;;;;;;;;;;;;;61,35;33,18;45,15
K8500062;8500062;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;411;Indonesia Barat;KABUPATEN;RURAL;0,00;0,00;19;0;0,00;3;Ada;Ada;0;1;3;3;1;5,26;71,40;43,84;51,67;54,72;36,88;42,47;50,13;46,65;41,54;48,09;41,31;71,73;59,62;62,23;56,61;38,33;32,27;35,98;46,91;72,17;26,71;36,99;47,86;35,86;28,33;36,98;25,28;30,62;52,69;31,44;19,96;52,69;42,30;50,24;44,04;48,24;41,41;48,36;69,62;;;;;;;;;;;;;52,20;29,42;66,16
